sample_id	sp_type	data_type	path2results	genera	species	extra	tax_id	isolate	species	genus	subfamily	family	suborder	order	subclass	class	phylum	clade1	kingdom	clade	superkingdom	no rank
Astreopora_myriophthalma_SLJPv2	coral	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/coral_genomes/Astreopora_myriophthalma_SLJPv2	Astreopora	myriophthalma		102202	Astreopora_myriophthalma_SLJPv2	Astreopora myriophthalma	Astreopora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Fungia_spp_REEFv1	coral	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/coral_genomes/Fungia_spp_REEFv1	Fungia		spp.	2635559	Fungia_spp_REEFv1	NA	Fungia	NA	Fungiidae	Fungiina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Galaxea_fascicularis_REEFv1	coral	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/coral_genomes/Galaxea_fascicularis_REEFv1	Galaxea	fascicularis		46745	Galaxea_fascicularis_REEFv1	Galaxea fascicularis	Galaxea	NA	Euphylliidae	Faviina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Goniastrea_aspera_REEFv1	coral	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/coral_genomes/Goniastrea_aspera_REEFv1	Goniastrea	aspera		1540031	Goniastrea_aspera_REEFv1	Coelastrea aspera	Coelastrea	NA	Merulinidae	Faviina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Montastrea_cavernosa_FGUSv2	coral	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/coral_genomes/Montastrea_cavernosa_FGUSv2	Montastrea	cavernosa		63558	Montastrea_cavernosa_FGUSv2	Montastraea cavernosa	Montastraea	NA	Montastraeidae	Faviina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Montipora_cactus_SLJPv2	coral	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/coral_genomes/Montipora_cactus_SLJPv2	Montipora	cactus		246299	Montipora_cactus_SLJPv2	Montipora cactus	Montipora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Montipora_capitata_KBHIv3	coral	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/coral_genomes/Montipora_capitata_KBHIv3	Montipora	capitata	"loc. Kaneohe Bay, HI"	46704	Montipora_capitata_KBHIv3	Montipora capitata	Montipora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Montipora_capitata_WTHIv1.1	coral	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/coral_genomes/Montipora_capitata_WTHIv1.1	Montipora	capitata	"loc. Waiopae tide pools, HI"	46704	Montipora_capitata_WTHIv1.1	Montipora capitata	Montipora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Montipora_efflorescens_SLJPv2	coral	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/coral_genomes/Montipora_efflorescens_SLJPv2	Montipora	efflorescens		105610	Montipora_efflorescens_SLJPv2	Montipora efflorescens	Montipora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Orbicella_faveolata_NAPAv1	coral	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/coral_genomes/Orbicella_faveolata_NAPAv1	Orbicella	faveolata		48498	Orbicella_faveolata_NAPAv1	Orbicella faveolata	Orbicella	NA	Merulinidae	Faviina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Pachyseris_speciosa_OIAUv0.12	coral	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/coral_genomes/Pachyseris_speciosa_OIAUv0.12	Pachyseris	speciosa		497657	Pachyseris_speciosa_OIAUv0.12	Pachyseris speciosa	Pachyseris	NA	Agariciidae	Fungiina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Platygyra_sinensis_SDTHv1	coral	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/coral_genomes/Platygyra_sinensis_SDTHv1	Platygyra	sinensis		102205	Platygyra_sinensis_SDTHv1	Platygyra sinensis	Platygyra	NA	Merulinidae	Faviina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Pocillopora_acuta_KBHIv2	coral	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/coral_genomes/Pocillopora_acuta_KBHIv2	Pocillopora	acuta	"loc. Kaneohe Bay, HI"	1491507	Pocillopora_acuta_KBHIv2	Pocillopora acuta	Pocillopora	NA	Pocilloporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Pocillopora_acuta_LBIDv1	coral	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/coral_genomes/Pocillopora_acuta_LBIDv1	Pocillopora	acuta	"loc. Lombok, ID"	1491507	Pocillopora_acuta_LBIDv1	Pocillopora acuta	Pocillopora	NA	Pocilloporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Pocillopora_cf_effusa_NAPFv3	coral	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/coral_genomes/Pocillopora_cf_effusa_NAPFv3	Pocillopora	effusa		490831	Pocillopora_cf_effusa_NAPFv3	Pocillopora effusa	Pocillopora	NA	Pocilloporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Pocillopora_damicornis_SIPAv1	coral	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/coral_genomes/Pocillopora_damicornis_SIPAv1	Pocillopora	damicornis	loc. Panama	46731	Pocillopora_damicornis_SIPAv1	Pocillopora damicornis	Pocillopora	NA	Pocilloporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Pocillopora_meandrina_KBHIv1	coral	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/coral_genomes/Pocillopora_meandrina_KBHIv1	Pocillopora	meandrina		46732	Pocillopora_meandrina_KBHIv1	Pocillopora meandrina	Pocillopora	NA	Pocilloporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Pocillopora_verrucosa_RSSAv1	coral	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/coral_genomes/Pocillopora_verrucosa_RSSAv1	Pocillopora	verrucosa	loc. Saudi Arabia	203993	Pocillopora_verrucosa_RSSAv1	Pocillopora verrucosa	Pocillopora	NA	Pocilloporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Porites_astreoides_BBBMv1	coral	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/coral_genomes/Porites_astreoides_BBBMv1	Porites	astreoides	loc. Bermuda	104758	Porites_astreoides_BBBMv1	Porites astreoides	Porites	NA	Poritidae	Fungiina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Porites_australiensis_SLJPv1	coral	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/coral_genomes/Porites_australiensis_SLJPv1	Porites	australiensis		51061	Porites_australiensis_SLJPv1	Porites australiensis	Porites	NA	Poritidae	Fungiina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Porites_compressa_KBHIv1	coral	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/coral_genomes/Porites_compressa_KBHIv1	Porites	compressa		46720	Porites_compressa_KBHIv1	Porites compressa	Porites	NA	Poritidae	Fungiina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Porites_evermanni_NAPFv1	coral	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/coral_genomes/Porites_evermanni_NAPFv1	Porites	evermanni		104178	Porites_evermanni_NAPFv1	Porites evermanni	Porites	NA	Poritidae	Fungiina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Porites_lobata_NAPFv3	coral	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/coral_genomes/Porites_lobata_NAPFv3	Porites	lobata		104759	Porites_lobata_NAPFv3	Porites lobata	Porites	NA	Poritidae	Fungiina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Porites_lutea_OIAUv1.1	coral	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/coral_genomes/Porites_lutea_OIAUv1.1	Porites	lutea		51062	Porites_lutea_OIAUv1.1	Porites lutea	Porites	NA	Poritidae	Fungiina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Porites_rus_NAIDv1	coral	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/coral_genomes/Porites_rus_NAIDv1	Porites	rus		262591	Porites_rus_NAIDv1	Porites rus	Porites	NA	Poritidae	Fungiina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Stylophora_pistillata_GAJOv1	coral	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/coral_genomes/Stylophora_pistillata_GAJOv1	Stylophora	pistillata		50429	Stylophora_pistillata_GAJOv1	Stylophora pistillata	Stylophora	NA	Pocilloporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Actinia_equina_RHUKv1	outgroup	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/outgroup_genomes/Actinia_equina_RHUKv1	Actinia	equina		6106	Actinia_equina_RHUKv1	Actinia equina	Actinia	NA	Actiniidae	NA	Actiniaria	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Alatina_alata_BNNLv1	outgroup	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/outgroup_genomes/Alatina_alata_BNNLv1	Alatina	alata		1193083	Alatina_alata_BNNLv1	Alatina alata	Alatina	NA	Alatinidae	NA	Carybdeida	NA	Cubozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Amphimedon_queenslandica_HIAUv1.1	outgroup	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/outgroup_genomes/Amphimedon_queenslandica_HIAUv1.1	Amphimedon	queenslandica		400682	Amphimedon_queenslandica_HIAUv1.1	Amphimedon queenslandica	Amphimedon	NA	Niphatidae	NA	Haplosclerida	Heteroscleromorpha	Demospongiae	Porifera	NA	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Amplexidiscus_fenestrafer_MSMEv1	outgroup	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/outgroup_genomes/Amplexidiscus_fenestrafer_MSMEv1	Amplexidiscus	fenestrafer		51823	Amplexidiscus_fenestrafer_MSMEv1	Amplexidiscus fenestrafer	Amplexidiscus	NA	Discosomidae	NA	Corallimorpharia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Aurelia_aurita_ALTOv1	outgroup	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/outgroup_genomes/Aurelia_aurita_ALTOv1	Aurelia	aurita	loc. Atlantic Ocean	6145	Aurelia_aurita_ALTOv1	Aurelia aurita	Aurelia	NA	Ulmaridae	NA	Semaeostomeae	NA	Scyphozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Aurelia_aurita_RSPOv1	outgroup	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/outgroup_genomes/Aurelia_aurita_RSPOv1	Aurelia	aurita	loc. Roscoff	6145	Aurelia_aurita_RSPOv1	Aurelia aurita	Aurelia	NA	Ulmaridae	NA	Semaeostomeae	NA	Scyphozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Calvadosia_cruxmelitensis_CRGBv3.2	outgroup	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/outgroup_genomes/Calvadosia_cruxmelitensis_CRGBv3.2	Calvadosia	cruxmelitensis		1843192	Calvadosia_cruxmelitensis_CRGBv3.2	Calvadosia cruxmelitensis	Calvadosia	NA	Kishinouyeidae	Amyostaurida	Stauromedusae	NA	Staurozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Clytia_hemispaerica_NANAv1	outgroup	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/outgroup_genomes/Clytia_hemispaerica_NANAv1	Clytia	hemispaerica		252671	Clytia_hemispaerica_NANAv1	Clytia hemisphaerica	Clytia	NA	Clytiidae	NA	Leptothecata	Hydroidolina	Hydrozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Dendronephthya_gigantea_SJKRv1	outgroup	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/outgroup_genomes/Dendronephthya_gigantea_SJKRv1	Dendronephthya	gigantea		151771	Dendronephthya_gigantea_SJKRv1	Dendronephthya gigantea	Dendronephthya	NA	Nephtheidae	NA	Alcyonacea	Octocorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Discosoma_sp_MSMEv1	outgroup	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/outgroup_genomes/Discosoma_sp_MSMEv1	Discosoma		sp.	86600	Discosoma_sp_MSMEv1	Discosoma sp.	Discosoma	NA	Discosomidae	NA	Corallimorpharia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Ephydatia_muelleri_BCCAv1	outgroup	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/outgroup_genomes/Ephydatia_muelleri_BCCAv1	Ephydatia	muelleri		6052	Ephydatia_muelleri_BCCAv1	Ephydatia muelleri	Ephydatia	NA	Spongillidae	NA	Spongillida	Heteroscleromorpha	Demospongiae	Porifera	NA	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Exaiptasia_diaphana_CC7v1	outgroup	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/outgroup_genomes/Exaiptasia_diaphana_CC7v1	Exaiptasia	diaphana		2652724	Exaiptasia_diaphana_CC7v1	Exaiptasia diaphana	Exaiptasia	NA	Aiptasiidae	NA	Actiniaria	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Hoilungia_hongkongensis_HCHKv1	outgroup	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/outgroup_genomes/Hoilungia_hongkongensis_HCHKv1	Hoilungia	hongkongensis		1964320	Hoilungia_hongkongensis_HCHKv1	Hoilungia hongkongensis	Hoilungia	NA	Trichoplacidae	NA	NA	NA	NA	Placozoa	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Hormiphora_californensis_MBUSv1	outgroup	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/outgroup_genomes/Hormiphora_californensis_MBUSv1	Hormiphora	californensis		1403702	Hormiphora_californensis_MBUSv1	Hormiphora californensis	Hormiphora	NA	Pleurobrachiidae	NA	Cydippida	NA	Tentaculata	Ctenophora	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Hydractinia_echinata_NWAOv1	outgroup	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/outgroup_genomes/Hydractinia_echinata_NWAOv1	Hydractinia	echinata		35630	Hydractinia_echinata_NWAOv1	Hydractinia echinata	Hydractinia	NA	Hydractiniidae	Filifera	Anthoathecata	Hydroidolina	Hydrozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Hydractinia_symbiolongicarpus_NEAOv1	outgroup	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/outgroup_genomes/Hydractinia_symbiolongicarpus_NEAOv1	Hydractinia	symbiolongicarpus		13093	Hydractinia_symbiolongicarpus_NEAOv1	Hydractinia symbiolongicarpus	Hydractinia	NA	Hydractiniidae	Filifera	Anthoathecata	Hydroidolina	Hydrozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Hydra_viridissima_99AUv1	outgroup	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/outgroup_genomes/Hydra_viridissima_99AUv1	Hydra	viridissima		6082	Hydra_viridissima_99AUv1	Hydra viridissima	Hydra	NA	Hydridae	Aplanulata	Anthoathecata	Hydroidolina	Hydrozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Hydra_vulgaris_MIJPv3	outgroup	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/outgroup_genomes/Hydra_vulgaris_MIJPv3	Hydra	vulgaris		6087	Hydra_vulgaris_MIJPv3	Hydra vulgaris	Hydra	NA	Hydridae	Aplanulata	Anthoathecata	Hydroidolina	Hydrozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Mnemiopsis_leidyi_WHUSv2.2	outgroup	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/outgroup_genomes/Mnemiopsis_leidyi_WHUSv2.2	Mnemiopsis	leidyi		27923	Mnemiopsis_leidyi_WHUSv2.2	Mnemiopsis leidyi	Mnemiopsis	NA	Bolinopsidae	NA	Lobata	NA	Tentaculata	Ctenophora	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Monosiga_brevicollis_CCBMv1	outgroup	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/outgroup_genomes/Monosiga_brevicollis_CCBMv1	Monosiga	brevicollis		81824	Monosiga_brevicollis_CCBMv1	Monosiga brevicollis	Monosiga	NA	Salpingoecidae	NA	Craspedida	NA	Choanoflagellata	NA	NA	NA	Opisthokonta	Eukaryota	cellular organisms
Morbakka_virulenta_ODJPv1	outgroup	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/outgroup_genomes/Morbakka_virulenta_ODJPv1	Morbakka	virulenta		686327	Morbakka_virulenta_ODJPv1	Morbakka virulenta	Morbakka	NA	Carukiidae	NA	Carybdeida	NA	Cubozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Nematostella_vectensis_RRUSv1	outgroup	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/outgroup_genomes/Nematostella_vectensis_RRUSv1	Nematostella	vectensis		45351	Nematostella_vectensis_RRUSv1	Nematostella vectensis	Nematostella	NA	Edwardsiidae	NA	Actiniaria	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Paramuricea_clavata_CTESv1	outgroup	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/outgroup_genomes/Paramuricea_clavata_CTESv1	Paramuricea	clavata		317549	Paramuricea_clavata_CTESv1	Paramuricea clavata	Paramuricea	NA	Plexauridae	Holaxonia	Alcyonacea	Octocorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Renilla_muelleri_FLUSv1	outgroup	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/outgroup_genomes/Renilla_muelleri_FLUSv1	Renilla	muelleri		37510	Renilla_muelleri_FLUSv1	Renilla muelleri	Renilla	NA	Renillidae	Sessiliflorae	Pennatulacea	Octocorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
