SampleID	Complete	Single-copy	Duplicated	Fragmented	Missing	Total
Montipora_cactus_SLJPv2	92.1% (879)	91.4% (872)	0.7% (7)	4.3% (41)	3.6% (34)	100% (954)
Montipora_capitata_KBHIv3	95.7% (913)	94.1% (898)	1.6% (15)	2.2% (21)	2.1% (20)	100% (954)
Montipora_capitata_WTHIv1.1	84.1% (802)	82.8% (790)	1.3% (12)	10.4% (99)	5.5% (53)	100% (954)
Montipora_efflorescens_SLJPv2	90.1% (860)	89.2% (851)	0.9% (9)	4.8% (46)	5.1% (48)	100% (954)
Orbicella_faveolata_NAPAv1	85.1% (812)	84.7% (808)	0.4% (4)	8.7% (83)	6.2% (59)	100% (954)
Pachyseris_speciosa_OIAUv0.12	95.2% (909)	92.0% (878)	3.2% (31)	1.6% (15)	3.2% (30)	100% (954)
Platygyra_sinensis_SDTHv1	80.8% (771)	62.8% (599)	18.0% (172)	10.4% (99)	8.8% (84)	100% (954)
Pocillopora_acuta_KBHIv2	96.1% (917)	93.6% (893)	2.5% (24)	1.9% (18)	2.0% (19)	100% (954)
Pocillopora_acuta_LBIDv1	89.4% (853)	89.0% (849)	0.4% (4)	6.9% (66)	3.7% (35)	100% (954)
Pocillopora_cf_effusa_NAPFv3	95.9% (915)	93.1% (888)	2.8% (27)	1.8% (17)	2.3% (22)	100% (954)
Pocillopora_damicornis_SIPAv1	90.7% (865)	90.5% (863)	0.2% (2)	4.2% (40)	5.1% (49)	100% (954)
Pocillopora_meandrina_KBHIv1	96.1% (916)	94.9% (905)	1.2% (11)	2.0% (19)	1.9% (19)	100% (954)
Pocillopora_verrucosa_RSSAv1	94.9% (906)	92.0% (878)	2.9% (28)	2.5% (24)	2.6% (24)	100% (954)
Porites_astreoides_BBBMv1	93.2% (889)	81.7% (779)	11.5% (110)	3.0% (29)	3.8% (36)	100% (954)
Porites_australiensis_SLJPv1	91.6% (874)	88.5% (844)	3.1% (30)	5.3% (51)	3.1% (29)	100% (954)
Porites_compressa_KBHIv1	95.5% (911)	93.7% (894)	1.8% (17)	2.3% (22)	2.2% (21)	100% (954)
Porites_evermanni_NAPFv1	93.9% (896)	82.9% (791)	11.0% (105)	2.5% (24)	3.6% (34)	100% (954)
Porites_lobata_NAPFv3	95.7% (913)	92.2% (880)	3.5% (33)	1.6% (15)	2.7% (26)	100% (954)
Porites_lutea_OIAUv1.1	95.3% (909)	93.5% (892)	1.8% (17)	2.1% (20)	2.6% (25)	100% (954)
Porites_rus_NAIDv1	69.6% (664)	67.2% (641)	2.4% (23)	17.5% (167)	12.9% (123)	100% (954)
Stylophora_pistillata_GAJOv1	92.5% (883)	91.6% (874)	0.9% (9)	4.6% (44)	2.9% (27)	100% (954)
Actinia_equina_RHUKv1	95.6% (912)	58.2% (555)	37.4% (357)	1.9% (18)	2.5% (24)	100% (954)
Alatina_alata_BNNLv1	19.1% (182)	17.6% (168)	1.5% (14)	37.9% (362)	43.0% (410)	100% (954)
Amphimedon_queenslandica_HIAUv1.1	88.6% (845)	82.5% (787)	6.1% (58)	3.9% (37)	7.5% (72)	100% (954)
Amplexidiscus_fenestrafer_MSMEv1	90.4% (863)	89.8% (857)	0.6% (6)	5.3% (51)	4.3% (40)	100% (954)
Aurelia_aurita_ALTOv1	73.2% (699)	72.6% (693)	0.6% (6)	14.9% (142)	11.9% (113)	100% (954)
Aurelia_aurita_RSPOv1	73.3% (699)	72.1% (688)	1.2% (11)	15.2% (145)	11.5% (110)	100% (954)
Calvadosia_cruxmelitensis_CRGBv3.2	63.1% (602)	62.2% (593)	0.9% (9)	22.6% (216)	14.3% (136)	100% (954)
Clytia_hemispaerica_NANAv1	83.1% (793)	81.2% (775)	1.9% (18)	8.9% (85)	8.0% (76)	100% (954)
Dendronephthya_gigantea_SJKRv1	88.5% (844)	79.4% (757)	9.1% (87)	5.6% (53)	5.9% (57)	100% (954)
Discosoma_sp_MSMEv1	90.8% (866)	88.5% (844)	2.3% (22)	5.2% (50)	4.0% (38)	100% (954)
Ephydatia_muelleri_BCCAv1	68.0% (649)	55.3% (528)	12.7% (121)	9.3% (89)	22.7% (216)	100% (954)
Exaiptasia_diaphana_CC7v1	91.7% (875)	88.9% (848)	2.8% (27)	4.6% (44)	3.7% (35)	100% (954)
Hoilungia_hongkongensis_HCHKv1	84.8% (809)	82.9% (791)	1.9% (18)	5.0% (48)	10.2% (97)	100% (954)
Hormiphora_californensis_MBUSv1	65.7% (627)	65.1% (621)	0.6% (6)	10.6% (101)	23.7% (226)	100% (954)
Hydractinia_echinata_NWAOv1	89.1% (850)	75.8% (723)	13.3% (127)	5.2% (50)	5.7% (54)	100% (954)
Hydractinia_symbiolongicarpus_NEAOv1	89.6% (854)	83.8% (799)	5.8% (55)	4.6% (44)	5.8% (56)	100% (954)
Hydra_viridissima_99AUv1	90.2% (860)	88.9% (848)	1.3% (12)	5.2% (50)	4.6% (44)	100% (954)
Hydra_vulgaris_MIJPv3	92.9% (887)	92.3% (881)	0.6% (6)	2.9% (28)	4.2% (39)	100% (954)
Mnemiopsis_leidyi_WHUSv2.2	68.2% (651)	67.5% (644)	0.7% (7)	10.5% (100)	21.3% (203)	100% (954)
Monosiga_brevicollis_CCBMv1	43.0% (410)	42.5% (405)	0.5% (5)	14.4% (137)	42.6% (407)	100% (954)
Morbakka_virulenta_ODJPv1	77.3% (738)	77.0% (735)	0.3% (3)	12.7% (121)	10.0% (95)	100% (954)
Nematostella_vectensis_RRUSv1	93.9% (896)	93.0% (887)	0.9% (9)	3.4% (32)	2.7% (26)	100% (954)
Paramuricea_clavata_CTESv1	72.1% (688)	70.6% (674)	1.5% (14)	16.0% (153)	11.9% (113)	100% (954)
Renilla_muelleri_FLUSv1	83.9% (800)	80.4% (767)	3.5% (33)	9.2% (88)	6.9% (66)	100% (954)
Renilla_reniformis_FLUSv1	39.5% (377)	37.0% (353)	2.5% (24)	37.2% (355)	23.3% (222)	100% (954)
Salpingoeca_rosetta_HIUSv1	34.4% (328)	34.0% (324)	0.4% (4)	15.0% (143)	50.6% (483)	100% (954)
Scolanthus_callimorphus_CRFRv1	94.5% (902)	74.0% (706)	20.5% (196)	1.8% (17)	3.7% (35)	100% (954)
Stylissa_carteri_RSSAv1	48.1% (458)	42.6% (406)	5.5% (52)	28.5% (272)	23.4% (224)	100% (954)
Thelohanellus_kitauei_TJCNv1	25.0% (239)	24.2% (231)	0.8% (8)	8.8% (84)	66.2% (631)	100% (954)
Trichoplax_adhaerens_RSSAv1	88.8% (847)	88.4% (843)	0.4% (4)	4.8% (46)	6.4% (61)	100% (954)
Trichoplax_sp_H2_CRPAv1	89.3% (852)	89.1% (850)	0.2% (2)	5.6% (53)	5.1% (49)	100% (954)
Xenia_sp_CTEAv1	83.1% (793)	81.0% (773)	2.1% (20)	8.9% (85)	8.0% (76)	100% (954)
Xestospongia_testudinaria_RSSAv1	64.1% (612)	59.7% (570)	4.4% (42)	15.4% (147)	20.5% (195)	100% (954)
