SampleID	Complete	Single-copy	Duplicated	Fragmented	Missing	Total
Ephydatia_muelleri_BCCAv1	77.6% (198)	63.5% (162)	14.1% (36)	11.0% (28)	11.4% (29)	100% (255)
Exaiptasia_diaphana_CC7v1	85.5% (218)	77.3% (197)	8.2% (21)	10.2% (26)	4.3% (11)	100% (255)
Hoilungia_hongkongensis_HCHKv1	93.0% (237)	91.0% (232)	2.0% (5)	2.4% (6)	4.6% (12)	100% (255)
Hormiphora_californensis_MBUSv1	87.9% (224)	86.3% (220)	1.6% (4)	4.7% (12)	7.4% (19)	100% (255)
Hydractinia_echinata_NWAOv1	94.1% (240)	83.9% (214)	10.2% (26)	3.5% (9)	2.4% (6)	100% (255)
Hydractinia_symbiolongicarpus_NEAOv1	92.9% (237)	83.9% (214)	9.0% (23)	2.7% (7)	4.4% (11)	100% (255)
Hydra_viridissima_99AUv1	93.8% (239)	92.2% (235)	1.6% (4)	3.5% (9)	2.7% (7)	100% (255)
Hydra_vulgaris_MIJPv3	99.2% (253)	98.4% (251)	0.8% (2)	0.0% (0)	0.8% (2)	100% (255)
Mnemiopsis_leidyi_WHUSv2.2	83.6% (213)	82.4% (210)	1.2% (3)	8.2% (21)	8.2% (21)	100% (255)
Monosiga_brevicollis_CCBMv1	78.8% (201)	78.8% (201)	0.0% (0)	7.5% (19)	13.7% (35)	100% (255)
Morbakka_virulenta_ODJPv1	85.1% (217)	84.7% (216)	0.4% (1)	10.6% (27)	4.3% (11)	100% (255)
Nematostella_vectensis_RRUSv1	93.7% (239)	92.9% (237)	0.8% (2)	3.5% (9)	2.8% (7)	100% (255)
Paramuricea_clavata_CTESv1	81.6% (208)	80.0% (204)	1.6% (4)	14.9% (38)	3.5% (9)	100% (255)
Renilla_muelleri_FLUSv1	81.6% (208)	75.3% (192)	6.3% (16)	12.2% (31)	6.2% (16)	100% (255)
Renilla_reniformis_FLUSv1	3.1% (8)	2.7% (7)	0.4% (1)	4.3% (11)	92.6% (236)	100% (255)
Salpingoeca_rosetta_HIUSv1	83.1% (212)	83.1% (212)	0.0% (0)	6.7% (17)	10.2% (26)	100% (255)
Scolanthus_callimorphus_CRFRv1	83.2% (212)	65.9% (168)	17.3% (44)	10.6% (27)	6.2% (16)	100% (255)
Stylissa_carteri_RSSAv1	45.1% (115)	42.0% (107)	3.1% (8)	31.4% (80)	23.5% (60)	100% (255)
Thelohanellus_kitauei_TJCNv1	29.4% (75)	28.6% (73)	0.8% (2)	15.7% (40)	54.9% (140)	100% (255)
Trichoplax_adhaerens_RSSAv1	92.9% (237)	92.5% (236)	0.4% (1)	4.7% (12)	2.4% (6)	100% (255)
Trichoplax_sp_H2_CRPAv1	96.1% (245)	94.9% (242)	1.2% (3)	2.4% (6)	1.5% (4)	100% (255)
Xenia_sp_CTEAv1	91.0% (232)	89.0% (227)	2.0% (5)	6.3% (16)	2.7% (7)	100% (255)
Xestospongia_testudinaria_RSSAv1	64.7% (165)	58.4% (149)	6.3% (16)	16.1% (41)	19.2% (49)	100% (255)
