best_strata	best_strata_taxa	color_best_strata_taxa
species	Xestospongia testudinaria	#ffff99
species	Ephydatia muelleri	#ffff99
species	Actinia equina	#fccde5
species	Exaiptasia diaphana	#fccde5
species	Nematostella vectensis	#fccde5
species	Scolanthus callimorphus	#fccde5
species	Anthopleura elegantissima	#fccde5
species	Pachycerianthus borealis	#fccde5
species	Amplexidiscus fenestrafer	#fccde5
species	Discosoma sp.	#fccde5
species	Corynactis australis	#fccde5
species	Rhodactis indosinensis	#fccde5
species	Ricordea yuma	#fccde5
species	Acropora acuminata	#33a02c
species	Acropora awi	#33a02c
species	Acropora cytherea	#33a02c
species	Acropora digitifera	#33a02c
species	Acropora echinata	#33a02c
species	Acropora florida	#33a02c
species	Acropora gemmifera	#33a02c
species	Acropora hyacinthus	#33a02c
species	Acropora intermedia	#33a02c
species	Acropora microphthalma	#33a02c
species	Acropora millepora	#33a02c
species	Acropora muricata	#33a02c
species	Acropora nasuta	#33a02c
species	Acropora selago	#33a02c
species	Acropora tenuis	#33a02c
species	Acropora yongei	#33a02c
species	Astreopora myriophthalma	#33a02c
species	NA	#33a02c
species	Galaxea fascicularis	#33a02c
species	Coelastrea aspera	#33a02c
species	Montastraea cavernosa	#33a02c
species	Montipora cactus	#33a02c
species	Montipora capitata	#33a02c
species	Montipora capitata	#33a02c
species	Montipora efflorescens	#33a02c
species	Orbicella faveolata	#33a02c
species	Pachyseris speciosa	#33a02c
species	Platygyra sinensis	#33a02c
species	Pocillopora acuta	#33a02c
species	Pocillopora acuta	#33a02c
species	Pocillopora effusa	#33a02c
species	Pocillopora damicornis	#33a02c
species	Pocillopora meandrina	#33a02c
species	Pocillopora verrucosa	#33a02c
species	Porites astreoides	#33a02c
species	Porites australiensis	#33a02c
species	Porites compressa	#33a02c
species	Porites evermanni	#33a02c
species	Porites lobata	#33a02c
species	Porites lutea	#33a02c
species	Porites rus	#33a02c
species	Stylophora pistillata	#33a02c
species	Acropora hyacinthus	#33a02c
species	Acropora muricata	#33a02c
species	NA	#33a02c
species	Ctenactis echinata	#33a02c
species	Dipsastraea lizardensis	#33a02c
species	NA	#33a02c
species	Lobactis scutaria	#33a02c
species	Madracis auretenra	#33a02c
species	Montastraea cavernosa	#33a02c
species	Orbicella faveolata	#33a02c
species	Montipora aequituberculata	#33a02c
species	Montipora foliosa	#33a02c
species	Platygyra carnosa	#33a02c
species	Pocillopora damicornis	#33a02c
species	Pocillopora verrucosa	#33a02c
species	Porites astreoides	#33a02c
species	Porites lobata	#33a02c
species	Pseudodiploria strigosa	#33a02c
species	Seriatopora hystrix	#33a02c
species	Palythoa variabilis	#fccde5
species	Hydractinia echinata	#fccde5
species	Hydractinia symbiolongicarpus	#fccde5
species	Hydra viridissima	#fccde5
species	Hydra vulgaris	#fccde5
species	Hydra oligactis	#fccde5
species	Millepora alcicornis	#fccde5
species	Millepora complanata	#fccde5
species	Millepora sp. RR-2016	#fccde5
species	Millepora squarrosa	#fccde5
species	Podocoryna carnea	#fccde5
species	Porpita porpita	#fccde5
species	Turritopsis sp. SK-2016	#fccde5
species	Velella velella	#fccde5
species	Clytia hemisphaerica	#fccde5
species	Dynamena pumila	#fccde5
species	Physalia physalis	#fccde5
species	Thelohanellus kitauei	#fccde5
species	Myxobolus cerebralis	#fccde5
species	Myxobolus pendula	#fccde5
species	Kudoa iwatai	#fccde5
species	Alatina alata	#fccde5
species	Morbakka virulenta	#fccde5
species	Alatina alata	#fccde5
species	Tripedalia cystophora	#fccde5
species	Polypodium hydriforme	#fccde5
species	Cassiopea xamachana	#fccde5
species	Cassiopea xamachana	#fccde5
species	Aurelia aurita	#fccde5
species	Aurelia aurita	#fccde5
species	Calvadosia cruxmelitensis	#fccde5
species	Calvadosia cruxmelitensis	#fccde5
species	Calvadosia cruxmelitensis	#fccde5
species	Craterolophus convolvulus	#fccde5
species	Haliclystus auricula	#fccde5
species	Haliclystus sanjuanensis	#fccde5
species	Lucernaria quadricornis	#fccde5
species	Hormiphora californensis	#ffff99
species	Mnemiopsis leidyi	#ffff99
species	Monosiga brevicollis	#ffff99
species	Salpingoeca rosetta	#ffff99
species	Hoilungia hongkongensis	#ffff99
species	Trichoplax adhaerens	#ffff99
species	Trichoplax sp. H2	#ffff99
species	Dendronephthya gigantea	#fccde5
species	Paramuricea clavata	#fccde5
species	Xenia sp.	#fccde5
species	Corallium rubrum	#fccde5
species	Gorgonia ventalina	#fccde5
species	Plexaura homomalla	#fccde5
species	Plexaura kukenthali	#fccde5
species	Renilla muelleri	#fccde5
species	Renilla reniformis	#fccde5
genus	Stylissa	#b15928
genus	Amphimedon	#b15928
genus	Xestospongia	#b15928
genus	Ephydatia	#b15928
genus	Actinia	#6a3d9a
genus	Exaiptasia	#6a3d9a
genus	Nematostella	#6a3d9a
genus	Scolanthus	#6a3d9a
genus	Anthopleura	#6a3d9a
genus	Pachycerianthus	#6a3d9a
genus	Amplexidiscus	#6a3d9a
genus	Discosoma	#6a3d9a
genus	Corynactis	#6a3d9a
genus	Rhodactis	#6a3d9a
genus	Ricordea	#6a3d9a
genus	Acropora	#1f78b4
genus	Acropora	#1f78b4
genus	Acropora	#1f78b4
genus	Acropora	#1f78b4
genus	Acropora	#1f78b4
genus	Acropora	#1f78b4
genus	Acropora	#1f78b4
genus	Acropora	#1f78b4
genus	Acropora	#1f78b4
genus	Acropora	#1f78b4
genus	Acropora	#1f78b4
genus	Acropora	#1f78b4
genus	Acropora	#1f78b4
genus	Acropora	#1f78b4
genus	Acropora	#1f78b4
genus	Acropora	#1f78b4
genus	Astreopora	#1f78b4
genus	Fungia	#1f78b4
genus	Galaxea	#1f78b4
genus	Coelastrea	#1f78b4
genus	Montastraea	#1f78b4
genus	Montipora	#1f78b4
genus	Montipora	#1f78b4
genus	Montipora	#1f78b4
genus	Montipora	#1f78b4
genus	Orbicella	#1f78b4
genus	Pachyseris	#1f78b4
genus	Platygyra	#1f78b4
genus	Pocillopora	#1f78b4
genus	Pocillopora	#1f78b4
genus	Pocillopora	#1f78b4
genus	Pocillopora	#1f78b4
genus	Pocillopora	#1f78b4
genus	Pocillopora	#1f78b4
genus	Porites	#1f78b4
genus	Porites	#1f78b4
genus	Porites	#1f78b4
genus	Porites	#1f78b4
genus	Porites	#1f78b4
genus	Porites	#1f78b4
genus	Porites	#1f78b4
genus	Stylophora	#1f78b4
genus	Acropora	#1f78b4
genus	Acropora	#1f78b4
genus	Astreopora	#1f78b4
genus	Ctenactis	#1f78b4
genus	Dipsastraea	#1f78b4
genus	Favia	#1f78b4
genus	Lobactis	#1f78b4
genus	Madracis	#1f78b4
genus	Montastraea	#1f78b4
genus	Orbicella	#1f78b4
genus	Montipora	#1f78b4
genus	Montipora	#1f78b4
genus	Platygyra	#1f78b4
genus	Pocillopora	#1f78b4
genus	Pocillopora	#1f78b4
genus	Porites	#1f78b4
genus	Porites	#1f78b4
genus	Pseudodiploria	#1f78b4
genus	Seriatopora	#1f78b4
genus	Palythoa	#6a3d9a
genus	Hydractinia	#6a3d9a
genus	Hydractinia	#6a3d9a
genus	Hydra	#6a3d9a
genus	Hydra	#6a3d9a
genus	Hydra	#6a3d9a
genus	Millepora	#6a3d9a
genus	Millepora	#6a3d9a
genus	Millepora	#6a3d9a
genus	Millepora	#6a3d9a
genus	Podocoryna	#6a3d9a
genus	Porpita	#6a3d9a
genus	Turritopsis	#6a3d9a
genus	Velella	#6a3d9a
genus	Clytia	#6a3d9a
genus	Dynamena	#6a3d9a
genus	Physalia	#6a3d9a
genus	Thelohanellus	#6a3d9a
genus	Myxobolus	#6a3d9a
genus	Myxobolus	#6a3d9a
genus	Kudoa	#6a3d9a
genus	Alatina	#6a3d9a
genus	Morbakka	#6a3d9a
genus	Alatina	#6a3d9a
genus	Tripedalia	#6a3d9a
genus	Polypodium	#6a3d9a
genus	Cassiopea	#6a3d9a
genus	Cassiopea	#6a3d9a
genus	Aurelia	#6a3d9a
genus	Aurelia	#6a3d9a
genus	Calvadosia	#6a3d9a
genus	Calvadosia	#6a3d9a
genus	Calvadosia	#6a3d9a
genus	Craterolophus	#6a3d9a
genus	Haliclystus	#6a3d9a
genus	Haliclystus	#6a3d9a
genus	Lucernaria	#6a3d9a
genus	Hormiphora	#b15928
genus	Mnemiopsis	#b15928
genus	Monosiga	#b15928
genus	Salpingoeca	#b15928
genus	Hoilungia	#b15928
genus	Trichoplax	#b15928
genus	Trichoplax	#b15928
genus	Dendronephthya	#6a3d9a
genus	Paramuricea	#6a3d9a
genus	Xenia	#6a3d9a
genus	Corallium	#6a3d9a
genus	Gorgonia	#6a3d9a
genus	Plexaura	#6a3d9a
genus	Plexaura	#6a3d9a
genus	Renilla	#6a3d9a
genus	Renilla	#6a3d9a
subfamily	NA	#b15928
subfamily	NA	#b15928
subfamily	NA	#b15928
subfamily	NA	#b15928
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	Faviinae	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#1f78b4
subfamily	Faviinae	#1f78b4
subfamily	NA	#1f78b4
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#b15928
subfamily	NA	#b15928
subfamily	NA	#b15928
subfamily	NA	#b15928
subfamily	NA	#b15928
subfamily	NA	#b15928
subfamily	NA	#b15928
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
subfamily	NA	#6a3d9a
family	Axinellidae	#b15928
family	Niphatidae	#b15928
family	Petrosiidae	#b15928
family	Spongillidae	#b15928
family	Actiniidae	#6a3d9a
family	Aiptasiidae	#6a3d9a
family	Edwardsiidae	#6a3d9a
family	Edwardsiidae	#6a3d9a
family	Actiniidae	#6a3d9a
family	Cerianthidae	#6a3d9a
family	Discosomidae	#6a3d9a
family	Discosomidae	#6a3d9a
family	Corallimorphidae	#6a3d9a
family	Discosomidae	#6a3d9a
family	Ricordeidae	#6a3d9a
family	Acroporidae	#1f78b4
family	Acroporidae	#1f78b4
family	Acroporidae	#1f78b4
family	Acroporidae	#1f78b4
family	Acroporidae	#1f78b4
family	Acroporidae	#1f78b4
family	Acroporidae	#1f78b4
family	Acroporidae	#1f78b4
family	Acroporidae	#1f78b4
family	Acroporidae	#1f78b4
family	Acroporidae	#1f78b4
family	Acroporidae	#1f78b4
family	Acroporidae	#1f78b4
family	Acroporidae	#1f78b4
family	Acroporidae	#1f78b4
family	Acroporidae	#1f78b4
family	Acroporidae	#1f78b4
family	Fungiidae	#1f78b4
family	Euphylliidae	#1f78b4
family	Merulinidae	#1f78b4
family	Montastraeidae	#1f78b4
family	Acroporidae	#1f78b4
family	Acroporidae	#1f78b4
family	Acroporidae	#1f78b4
family	Acroporidae	#1f78b4
family	Merulinidae	#1f78b4
family	Agariciidae	#1f78b4
family	Merulinidae	#1f78b4
family	Pocilloporidae	#1f78b4
family	Pocilloporidae	#1f78b4
family	Pocilloporidae	#1f78b4
family	Pocilloporidae	#1f78b4
family	Pocilloporidae	#1f78b4
family	Pocilloporidae	#1f78b4
family	Poritidae	#1f78b4
family	Poritidae	#1f78b4
family	Poritidae	#1f78b4
family	Poritidae	#1f78b4
family	Poritidae	#1f78b4
family	Poritidae	#1f78b4
family	Poritidae	#1f78b4
family	Pocilloporidae	#1f78b4
family	Acroporidae	#1f78b4
family	Acroporidae	#1f78b4
family	Acroporidae	#1f78b4
family	Fungiidae	#1f78b4
family	Merulinidae	#1f78b4
family	Mussidae	#1f78b4
family	Fungiidae	#1f78b4
family	Pocilloporidae	#1f78b4
family	Montastraeidae	#1f78b4
family	Merulinidae	#1f78b4
family	Acroporidae	#1f78b4
family	Acroporidae	#1f78b4
family	Merulinidae	#1f78b4
family	Pocilloporidae	#1f78b4
family	Pocilloporidae	#1f78b4
family	Poritidae	#1f78b4
family	Poritidae	#1f78b4
family	Mussidae	#1f78b4
family	Pocilloporidae	#1f78b4
family	Sphenopidae	#6a3d9a
family	Hydractiniidae	#6a3d9a
family	Hydractiniidae	#6a3d9a
family	Hydridae	#6a3d9a
family	Hydridae	#6a3d9a
family	Hydridae	#6a3d9a
family	Milleporidae	#6a3d9a
family	Milleporidae	#6a3d9a
family	Milleporidae	#6a3d9a
family	Milleporidae	#6a3d9a
family	Hydractiniidae	#6a3d9a
family	Porpitidae	#6a3d9a
family	Oceaniidae	#6a3d9a
family	Porpitidae	#6a3d9a
family	Clytiidae	#6a3d9a
family	Sertulariidae	#6a3d9a
family	Physaliidae	#6a3d9a
family	Myxobolidae	#6a3d9a
family	Myxobolidae	#6a3d9a
family	Myxobolidae	#6a3d9a
family	Kudoidae	#6a3d9a
family	Alatinidae	#6a3d9a
family	Carukiidae	#6a3d9a
family	Alatinidae	#6a3d9a
family	Tripedaliidae	#6a3d9a
family	Polypodiidae	#6a3d9a
family	Cassiopeidae	#6a3d9a
family	Cassiopeidae	#6a3d9a
family	Ulmaridae	#6a3d9a
family	Ulmaridae	#6a3d9a
family	Kishinouyeidae	#6a3d9a
family	Kishinouyeidae	#6a3d9a
family	Kishinouyeidae	#6a3d9a
family	Craterolophidae	#6a3d9a
family	Haliclystidae	#6a3d9a
family	Haliclystidae	#6a3d9a
family	Lucernariidae	#6a3d9a
family	Pleurobrachiidae	#b15928
family	Bolinopsidae	#b15928
family	Salpingoecidae	#b15928
family	Salpingoecidae	#b15928
family	Trichoplacidae	#b15928
family	Trichoplacidae	#b15928
family	Trichoplacidae	#b15928
family	Nephtheidae	#6a3d9a
family	Plexauridae	#6a3d9a
family	Xeniidae	#6a3d9a
family	Coralliidae	#6a3d9a
family	Gorgoniidae	#6a3d9a
family	Plexauridae	#6a3d9a
family	Plexauridae	#6a3d9a
family	Renillidae	#6a3d9a
family	Renillidae	#6a3d9a
suborder	NA	#b15928
suborder	NA	#b15928
suborder	NA	#b15928
suborder	NA	#b15928
suborder	NA	#6a3d9a
suborder	NA	#6a3d9a
suborder	NA	#6a3d9a
suborder	NA	#6a3d9a
suborder	NA	#6a3d9a
suborder	NA	#6a3d9a
suborder	NA	#6a3d9a
suborder	NA	#6a3d9a
suborder	NA	#6a3d9a
suborder	NA	#6a3d9a
suborder	NA	#6a3d9a
suborder	Astrocoeniina	#1f78b4
suborder	Astrocoeniina	#1f78b4
suborder	Astrocoeniina	#1f78b4
suborder	Astrocoeniina	#1f78b4
suborder	Astrocoeniina	#1f78b4
suborder	Astrocoeniina	#1f78b4
suborder	Astrocoeniina	#1f78b4
suborder	Astrocoeniina	#1f78b4
suborder	Astrocoeniina	#1f78b4
suborder	Astrocoeniina	#1f78b4
suborder	Astrocoeniina	#1f78b4
suborder	Astrocoeniina	#1f78b4
suborder	Astrocoeniina	#1f78b4
suborder	Astrocoeniina	#1f78b4
suborder	Astrocoeniina	#1f78b4
suborder	Astrocoeniina	#1f78b4
suborder	Astrocoeniina	#1f78b4
suborder	Fungiina	#1f78b4
suborder	Faviina	#1f78b4
suborder	Faviina	#1f78b4
suborder	Faviina	#1f78b4
suborder	Astrocoeniina	#1f78b4
suborder	Astrocoeniina	#1f78b4
suborder	Astrocoeniina	#1f78b4
suborder	Astrocoeniina	#1f78b4
suborder	Faviina	#1f78b4
suborder	Fungiina	#1f78b4
suborder	Faviina	#1f78b4
suborder	Astrocoeniina	#1f78b4
suborder	Astrocoeniina	#1f78b4
suborder	Astrocoeniina	#1f78b4
suborder	Astrocoeniina	#1f78b4
suborder	Astrocoeniina	#1f78b4
suborder	Astrocoeniina	#1f78b4
suborder	Fungiina	#1f78b4
suborder	Fungiina	#1f78b4
suborder	Fungiina	#1f78b4
suborder	Fungiina	#1f78b4
suborder	Fungiina	#1f78b4
suborder	Fungiina	#1f78b4
suborder	Fungiina	#1f78b4
suborder	Astrocoeniina	#1f78b4
suborder	Astrocoeniina	#1f78b4
suborder	Astrocoeniina	#1f78b4
suborder	Astrocoeniina	#1f78b4
suborder	Fungiina	#1f78b4
suborder	Faviina	#1f78b4
suborder	Faviina	#1f78b4
suborder	Fungiina	#1f78b4
suborder	Astrocoeniina	#1f78b4
suborder	Faviina	#1f78b4
suborder	Faviina	#1f78b4
suborder	Astrocoeniina	#1f78b4
suborder	Astrocoeniina	#1f78b4
suborder	Faviina	#1f78b4
suborder	Astrocoeniina	#1f78b4
suborder	Astrocoeniina	#1f78b4
suborder	Fungiina	#1f78b4
suborder	Fungiina	#1f78b4
suborder	Faviina	#1f78b4
suborder	Astrocoeniina	#1f78b4
suborder	NA	#6a3d9a
suborder	Filifera	#6a3d9a
suborder	Filifera	#6a3d9a
suborder	Aplanulata	#6a3d9a
suborder	Aplanulata	#6a3d9a
suborder	Aplanulata	#6a3d9a
suborder	Capitata	#6a3d9a
suborder	Capitata	#6a3d9a
suborder	Capitata	#6a3d9a
suborder	Capitata	#6a3d9a
suborder	Filifera	#6a3d9a
suborder	Capitata	#6a3d9a
suborder	Filifera	#6a3d9a
suborder	Capitata	#6a3d9a
suborder	NA	#6a3d9a
suborder	NA	#6a3d9a
suborder	Cystonectae	#6a3d9a
suborder	Platysporina	#6a3d9a
suborder	Platysporina	#6a3d9a
suborder	Platysporina	#6a3d9a
suborder	NA	#6a3d9a
suborder	NA	#6a3d9a
suborder	NA	#6a3d9a
suborder	NA	#6a3d9a
suborder	NA	#6a3d9a
suborder	NA	#6a3d9a
suborder	NA	#6a3d9a
suborder	NA	#6a3d9a
suborder	NA	#6a3d9a
suborder	NA	#6a3d9a
suborder	Amyostaurida	#6a3d9a
suborder	Amyostaurida	#6a3d9a
suborder	Amyostaurida	#6a3d9a
suborder	Amyostaurida	#6a3d9a
suborder	Myostaurida	#6a3d9a
suborder	Myostaurida	#6a3d9a
suborder	Myostaurida	#6a3d9a
suborder	NA	#b15928
suborder	NA	#b15928
suborder	NA	#b15928
suborder	NA	#b15928
suborder	NA	#b15928
suborder	NA	#b15928
suborder	NA	#b15928
suborder	NA	#6a3d9a
suborder	Holaxonia	#6a3d9a
suborder	NA	#6a3d9a
suborder	Scleraxonia	#6a3d9a
suborder	Holaxonia	#6a3d9a
suborder	Holaxonia	#6a3d9a
suborder	Holaxonia	#6a3d9a
suborder	Sessiliflorae	#6a3d9a
suborder	Sessiliflorae	#6a3d9a
order	Axinellida	#b15928
order	Haplosclerida	#b15928
order	Haplosclerida	#b15928
order	Spongillida	#b15928
order	Actiniaria	#6a3d9a
order	Actiniaria	#6a3d9a
order	Actiniaria	#6a3d9a
order	Actiniaria	#6a3d9a
order	Actiniaria	#6a3d9a
order	Ceriantharia	#6a3d9a
order	Corallimorpharia	#6a3d9a
order	Corallimorpharia	#6a3d9a
order	Corallimorpharia	#6a3d9a
order	Corallimorpharia	#6a3d9a
order	Corallimorpharia	#6a3d9a
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Scleractinia	#1f78b4
order	Zoantharia	#6a3d9a
order	Anthoathecata	#6a3d9a
order	Anthoathecata	#6a3d9a
order	Anthoathecata	#6a3d9a
order	Anthoathecata	#6a3d9a
