sample_id	tax_id	isolate	species	genus	subfamily	family	suborder	order	subclass	class	phylum	clade1	kingdom	clade	superkingdom	no rank
Orbicella_faveolata_NAPAv1	48498	Orbicella_faveolata_NAPAv1	Orbicella faveolata	Orbicella	NA	Merulinidae	Faviina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Pachyseris_speciosa_OIAUv0.12	497657	Pachyseris_speciosa_OIAUv0.12	Pachyseris speciosa	Pachyseris	NA	Agariciidae	Fungiina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Platygyra_sinensis_SDTHv1	102205	Platygyra_sinensis_SDTHv1	Platygyra sinensis	Platygyra	NA	Merulinidae	Faviina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Pocillopora_acuta_KBHIv2	1491507	Pocillopora_acuta_KBHIv2	Pocillopora acuta	Pocillopora	NA	Pocilloporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Pocillopora_acuta_LBIDv1	1491507	Pocillopora_acuta_LBIDv1	Pocillopora acuta	Pocillopora	NA	Pocilloporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Pocillopora_cf_effusa_NAPFv3	490831	Pocillopora_cf_effusa_NAPFv3	Pocillopora effusa	Pocillopora	NA	Pocilloporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Pocillopora_damicornis_SIPAv1	46731	Pocillopora_damicornis_SIPAv1	Pocillopora damicornis	Pocillopora	NA	Pocilloporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Pocillopora_meandrina_KBHIv1	46732	Pocillopora_meandrina_KBHIv1	Pocillopora meandrina	Pocillopora	NA	Pocilloporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Pocillopora_verrucosa_RSSAv1	203993	Pocillopora_verrucosa_RSSAv1	Pocillopora verrucosa	Pocillopora	NA	Pocilloporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Porites_astreoides_BBBMv1	104758	Porites_astreoides_BBBMv1	Porites astreoides	Porites	NA	Poritidae	Fungiina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Porites_australiensis_SLJPv1	51061	Porites_australiensis_SLJPv1	Porites australiensis	Porites	NA	Poritidae	Fungiina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Porites_compressa_KBHIv1	46720	Porites_compressa_KBHIv1	Porites compressa	Porites	NA	Poritidae	Fungiina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Porites_evermanni_NAPFv1	104178	Porites_evermanni_NAPFv1	Porites evermanni	Porites	NA	Poritidae	Fungiina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Porites_lobata_NAPFv3	104759	Porites_lobata_NAPFv3	Porites lobata	Porites	NA	Poritidae	Fungiina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Porites_lutea_OIAUv1.1	51062	Porites_lutea_OIAUv1.1	Porites lutea	Porites	NA	Poritidae	Fungiina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Porites_rus_NAIDv1	262591	Porites_rus_NAIDv1	Porites rus	Porites	NA	Poritidae	Fungiina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Stylophora_pistillata_GAJOv1	50429	Stylophora_pistillata_GAJOv1	Stylophora pistillata	Stylophora	NA	Pocilloporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Actinia_equina_RHUKv1	6106	Actinia_equina_RHUKv1	Actinia equina	Actinia	NA	Actiniidae	NA	Actiniaria	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Alatina_alata_BNNLv1	1193083	Alatina_alata_BNNLv1	Alatina alata	Alatina	NA	Alatinidae	NA	Carybdeida	NA	Cubozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Amphimedon_queenslandica_HIAUv1.1	400682	Amphimedon_queenslandica_HIAUv1.1	Amphimedon queenslandica	Amphimedon	NA	Niphatidae	NA	Haplosclerida	Heteroscleromorpha	Demospongiae	Porifera	NA	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Amplexidiscus_fenestrafer_MSMEv1	51823	Amplexidiscus_fenestrafer_MSMEv1	Amplexidiscus fenestrafer	Amplexidiscus	NA	Discosomidae	NA	Corallimorpharia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Aurelia_aurita_ALTOv1	6145	Aurelia_aurita_ALTOv1	Aurelia aurita	Aurelia	NA	Ulmaridae	NA	Semaeostomeae	NA	Scyphozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Aurelia_aurita_RSPOv1	6145	Aurelia_aurita_RSPOv1	Aurelia aurita	Aurelia	NA	Ulmaridae	NA	Semaeostomeae	NA	Scyphozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Calvadosia_cruxmelitensis_CRGBv3.2	1843192	Calvadosia_cruxmelitensis_CRGBv3.2	Calvadosia cruxmelitensis	Calvadosia	NA	Kishinouyeidae	Amyostaurida	Stauromedusae	NA	Staurozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Clytia_hemispaerica_NANAv1	252671	Clytia_hemispaerica_NANAv1	Clytia hemisphaerica	Clytia	NA	Clytiidae	NA	Leptothecata	Hydroidolina	Hydrozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Dendronephthya_gigantea_SJKRv1	151771	Dendronephthya_gigantea_SJKRv1	Dendronephthya gigantea	Dendronephthya	NA	Nephtheidae	NA	Alcyonacea	Octocorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Discosoma_sp_MSMEv1	86600	Discosoma_sp_MSMEv1	Discosoma sp.	Discosoma	NA	Discosomidae	NA	Corallimorpharia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Ephydatia_muelleri_BCCAv1	6052	Ephydatia_muelleri_BCCAv1	Ephydatia muelleri	Ephydatia	NA	Spongillidae	NA	Spongillida	Heteroscleromorpha	Demospongiae	Porifera	NA	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Exaiptasia_diaphana_CC7v1	2652724	Exaiptasia_diaphana_CC7v1	Exaiptasia diaphana	Exaiptasia	NA	Aiptasiidae	NA	Actiniaria	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Hoilungia_hongkongensis_HCHKv1	1964320	Hoilungia_hongkongensis_HCHKv1	Hoilungia hongkongensis	Hoilungia	NA	Trichoplacidae	NA	NA	NA	NA	Placozoa	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Hormiphora_californensis_MBUSv1	1403702	Hormiphora_californensis_MBUSv1	Hormiphora californensis	Hormiphora	NA	Pleurobrachiidae	NA	Cydippida	NA	Tentaculata	Ctenophora	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Hydractinia_echinata_NWAOv1	35630	Hydractinia_echinata_NWAOv1	Hydractinia echinata	Hydractinia	NA	Hydractiniidae	Filifera	Anthoathecata	Hydroidolina	Hydrozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Hydractinia_symbiolongicarpus_NEAOv1	13093	Hydractinia_symbiolongicarpus_NEAOv1	Hydractinia symbiolongicarpus	Hydractinia	NA	Hydractiniidae	Filifera	Anthoathecata	Hydroidolina	Hydrozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Hydra_viridissima_99AUv1	6082	Hydra_viridissima_99AUv1	Hydra viridissima	Hydra	NA	Hydridae	Aplanulata	Anthoathecata	Hydroidolina	Hydrozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Hydra_vulgaris_MIJPv3	6087	Hydra_vulgaris_MIJPv3	Hydra vulgaris	Hydra	NA	Hydridae	Aplanulata	Anthoathecata	Hydroidolina	Hydrozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Mnemiopsis_leidyi_WHUSv2.2	27923	Mnemiopsis_leidyi_WHUSv2.2	Mnemiopsis leidyi	Mnemiopsis	NA	Bolinopsidae	NA	Lobata	NA	Tentaculata	Ctenophora	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Monosiga_brevicollis_CCBMv1	81824	Monosiga_brevicollis_CCBMv1	Monosiga brevicollis	Monosiga	NA	Salpingoecidae	NA	Craspedida	NA	Choanoflagellata	NA	NA	NA	Opisthokonta	Eukaryota	cellular organisms
Morbakka_virulenta_ODJPv1	686327	Morbakka_virulenta_ODJPv1	Morbakka virulenta	Morbakka	NA	Carukiidae	NA	Carybdeida	NA	Cubozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Nematostella_vectensis_RRUSv1	45351	Nematostella_vectensis_RRUSv1	Nematostella vectensis	Nematostella	NA	Edwardsiidae	NA	Actiniaria	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Paramuricea_clavata_CTESv1	317549	Paramuricea_clavata_CTESv1	Paramuricea clavata	Paramuricea	NA	Plexauridae	Holaxonia	Alcyonacea	Octocorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Renilla_muelleri_FLUSv1	37510	Renilla_muelleri_FLUSv1	Renilla muelleri	Renilla	NA	Renillidae	Sessiliflorae	Pennatulacea	Octocorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Renilla_reniformis_FLUSv1	6136	Renilla_reniformis_FLUSv1	Renilla reniformis	Renilla	NA	Renillidae	Sessiliflorae	Pennatulacea	Octocorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Salpingoeca_rosetta_HIUSv1	946362	Salpingoeca_rosetta_HIUSv1	Salpingoeca rosetta	Salpingoeca	NA	Salpingoecidae	NA	Craspedida	NA	Choanoflagellata	NA	NA	NA	Opisthokonta	Eukaryota	cellular organisms
Scolanthus_callimorphus_CRFRv1	2072708	Scolanthus_callimorphus_CRFRv1	Scolanthus callimorphus	Scolanthus	NA	Edwardsiidae	NA	Actiniaria	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Stylissa_carteri_RSSAv1	279588	Stylissa_carteri_RSSAv1	Stylissa carteri	Stylissa	NA	Axinellidae	NA	Axinellida	Heteroscleromorpha	Demospongiae	Porifera	NA	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Thelohanellus_kitauei_TJCNv1	669202	Thelohanellus_kitauei_TJCNv1	Thelohanellus kitauei	Thelohanellus	NA	Myxobolidae	Platysporina	Bivalvulida	Myxosporea	Myxozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Trichoplax_adhaerens_RSSAv1	10228	Trichoplax_adhaerens_RSSAv1	Trichoplax adhaerens	Trichoplax	NA	Trichoplacidae	NA	NA	NA	NA	Placozoa	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Trichoplax_sp_H2_CRPAv1	287889	Trichoplax_sp_H2_CRPAv1	Trichoplax sp. H2	Trichoplax	NA	Trichoplacidae	NA	NA	NA	NA	Placozoa	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Xenia_sp_CTEAv1	86540	Xenia_sp_CTEAv1	Xenia sp.	Xenia	NA	Xeniidae	NA	Alcyonacea	Octocorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Xestospongia_testudinaria_RSSAv1	178554	Xestospongia_testudinaria_RSSAv1	Xestospongia testudinaria	Xestospongia	NA	Petrosiidae	NA	Haplosclerida	Heteroscleromorpha	Demospongiae	Porifera	NA	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_hyacinthus_NANAv1	55974	Acropora_hyacinthus_NANAv1	Acropora hyacinthus	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_muricata_XSCSv1	159855	Acropora_muricata_XSCSv1	Acropora muricata	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Astreopora_sp_REEFv1	2643297	Astreopora_sp_REEFv1	NA	Astreopora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Ctenactis_echinata_NAJPv1	486192	Ctenactis_echinata_NAJPv1	Ctenactis echinata	Ctenactis	NA	Fungiidae	Fungiina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Dipsastraea_lizardensis_NAJPv1	1869260	Dipsastraea_lizardensis_NAJPv1	Dipsastraea lizardensis	Dipsastraea	NA	Merulinidae	Faviina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Favia_sp_REEFv1	2619190	Favia_sp_REEFv1	NA	Favia	Faviinae	Mussidae	Faviina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Fungia_scutaria_REEFv1	46714	Fungia_scutaria_REEFv1	Lobactis scutaria	Lobactis	NA	Fungiidae	Fungiina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Madracis_auretenra_REEFv1	999287	Madracis_auretenra_REEFv1	Madracis auretenra	Madracis	NA	Pocilloporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Montastraea_cavernosa_REEFv1	63558	Montastraea_cavernosa_REEFv1	Montastraea cavernosa	Montastraea	NA	Montastraeidae	Faviina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Montastraea_faveolata_REEFv1	48498	Montastraea_faveolata_REEFv1	Orbicella faveolata	Orbicella	NA	Merulinidae	Faviina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Montipora_aequituberculata_NANAv1	105609	Montipora_aequituberculata_NANAv1	Montipora aequituberculata	Montipora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Montipora_foliosa_XSCSv1	591990	Montipora_foliosa_XSCSv1	Montipora foliosa	Montipora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Platygyra_carnosus_REEFv1	1136245	Platygyra_carnosus_REEFv1	Platygyra carnosa	Platygyra	NA	Merulinidae	Faviina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Pocillopora_damicornis_XSCSv1	46731	Pocillopora_damicornis_XSCSv1	Pocillopora damicornis	Pocillopora	NA	Pocilloporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Pocillopora_verrucosa_XSCSv1	203993	Pocillopora_verrucosa_XSCSv1	Pocillopora verrucosa	Pocillopora	NA	Pocilloporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Porites_astreoides_REEFv1	104758	Porites_astreoides_REEFv1	Porites astreoides	Porites	NA	Poritidae	Fungiina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Porites_lobata_REEFv1	104759	Porites_lobata_REEFv1	Porites lobata	Porites	NA	Poritidae	Fungiina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Pseudodiploria_strigosa_REEFv1	1428006	Pseudodiploria_strigosa_REEFv1	Pseudodiploria strigosa	Pseudodiploria	Faviinae	Mussidae	Faviina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Seriatopora_hystrix_REEFv1	51070	Seriatopora_hystrix_REEFv1	Seriatopora hystrix	Seriatopora	NA	Pocilloporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Alatina_alata_BNNLv1-TRANS	1193083	Alatina_alata_BNNLv1-TRANS	Alatina alata	Alatina	NA	Alatinidae	NA	Carybdeida	NA	Cubozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Anthopleura_elegantissima_REEFv1	6110	Anthopleura_elegantissima_REEFv1	Anthopleura elegantissima	Anthopleura	NA	Actiniidae	NA	Actiniaria	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Calvadosia_cruxmelitensis_CRGBv3.2-TRANS	1843192	Calvadosia_cruxmelitensis_CRGBv3.2-TRANS	Calvadosia cruxmelitensis	Calvadosia	NA	Kishinouyeidae	Amyostaurida	Stauromedusae	NA	Staurozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Calvadosia_cruxmelitensis_NANAv1	1843192	Calvadosia_cruxmelitensis_NANAv1	Calvadosia cruxmelitensis	Calvadosia	NA	Kishinouyeidae	Amyostaurida	Stauromedusae	NA	Staurozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Cassiopea_xamachana_T1-Av2	12993	Cassiopea_xamachana_T1-Av2	Cassiopea xamachana	Cassiopea	NA	Cassiopeidae	NA	Rhizostomeae	NA	Scyphozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Cassiopea_xamachana_T1-Av2-TRANS	12993	Cassiopea_xamachana_T1-Av2-TRANS	Cassiopea xamachana	Cassiopea	NA	Cassiopeidae	NA	Rhizostomeae	NA	Scyphozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Corallium_rubrum_MRFRv1	142104	Corallium_rubrum_MRFRv1	Corallium rubrum	Corallium	NA	Coralliidae	Scleraxonia	Alcyonacea	Octocorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Corynactis_australis_JBAUv1	51772	Corynactis_australis_JBAUv1	Corynactis australis	Corynactis	NA	Corallimorphidae	NA	Corallimorpharia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
