orthogroup_id	no_sequences	no_species	avg_seq_length	representative_seqid	representative_seqid_length	num_representative_hits	is_best_representative_seq	best_strata	best_strata_taxa	best_strata_total_species	best_strata_species_in_OG	best_strata_species_in_OG_proportion_total	non-strata_taxa_in_analysis	non-strata_taxa_expectedHDF_false	non-strata_taxa_expectedHDF_ambiguous	non-strata_taxa_expectedHDF_true	non-strata_taxa_expectedHDF_false_proportion	non-strata_taxa_expectedHDF_ambiguous_proportion	non-strata_taxa_expectedHDF_true_proportion	strata_nonOG_taxa_in_analysis	strata_nonOG_taxa_expectedHDF_false	strata_nonOG_taxa_expectedHDF_ambiguous	strata_nonOG_taxa_expectedHDF_true	strata_nonOG_taxa_expectedHDF_false_proportion	strata_nonOG_taxa_expectedHDF_ambiguous_proportion	strata_nonOG_taxa_expectedHDF_true_proportion	designation
OG0002300	243	102	358.10	Porites_rus_NAIDv1___30662_t	795	238	yes	clade	Opisthokonta	129	102	79.0600	0	0	0	0	NA	NA	NA	18	16	2	0	88.8889	11.1111	0	Light-Shared
OG0002400	236	114	677.45	Astreopora_myriophthalma_SLJPv2___sc0000057.g0088.t1	2152	223	yes	clade	Opisthokonta	129	114	88.3700	0	0	0	0	NA	NA	NA	6	4	2	0	66.6667	33.3333	0	Light-Shared
OG0002500	231	120	223.20	Scolanthus_callimorphus_CRFRv1___4938.1	372	231	yes	clade	Opisthokonta	129	120	93.0200	0	0	0	0	NA	NA	NA	0	0	0	0	NA	NA	NA	Light-Shared
OG0002600	225	117	652.64	Pachyseris_speciosa_OIAUv0.12___0.1.m1.15830.m1	1544	219	yes	clade	Opisthokonta	129	117	90.6900	0	0	0	0	NA	NA	NA	3	3	0	0	100	0	0	Light-Shared
OG0002700	220	112	733.56	Fungia_spp_REEFv1___m4.12581.m1	2179	220	yes	clade	Opisthokonta	129	112	86.8200	0	0	0	0	NA	NA	NA	8	8	0	0	100	0	0	Light-Shared
OG0002800	215	111	279.28	Stylissa_carteri_RSSAv1___augustus_masked-SC_scaffold69680-processed-gene-0.2-mRNA-1	162	205	yes	clade	Opisthokonta	129	111	86.0400	0	0	0	0	NA	NA	NA	9	9	0	0	100	0	0	Light-Shared
OG0002900	210	111	388.84	Salpingoeca_rosetta_HIUSv1___XP_004992898.1	415	205	yes	clade	Opisthokonta	129	111	86.0400	0	0	0	0	NA	NA	NA	9	3	4	2	33.3333	44.4444	22.2222	Light-Shared
OG0003000	207	117	411.33	Turritopsis_sp_SK-2016_TBJPv1___IAAF01060970.1.p1	558	207	yes	clade	Opisthokonta	129	117	90.6900	0	0	0	0	NA	NA	NA	3	3	0	0	100	0	0	Light-Shared
OG0003100	203	109	345.73	Xestospongia_testudinaria_RSSAv1___augustus_masked-XT_scaffold101398-processed-gene-0.1-mRNA-1	314	203	yes	clade	Opisthokonta	129	109	84.4900	0	0	0	0	NA	NA	NA	11	11	0	0	100	0	0	Light-Shared
OG0003200	200	111	149.85	Haliclystus_auricula_NANAv1___HAHA01011493.1.p1	158	197	yes	clade	Opisthokonta	129	111	86.0400	0	0	0	0	NA	NA	NA	9	9	0	0	100	0	0	Light-Shared
OG0003300	197	118	619.50	Renilla_muelleri_FLUSv1___g2439.t1	1488	196	yes	clade	Opisthokonta	129	118	91.4700	0	0	0	0	NA	NA	NA	2	2	0	0	100	0	0	Light-Shared
OG0003400	194	115	514.59	Polypodium_hydriforme_OKUSv1___GBGH01006276.1.p1	197	169	yes	clade	Opisthokonta	129	115	89.1400	0	0	0	0	NA	NA	NA	5	5	0	0	100	0	0	Light-Shared
OG0003500	191	116	465.52	Podocoryna_carnea_NANAv1___GBEH01008426.1.p1	350	184	yes	clade	Opisthokonta	129	116	89.9200	0	0	0	0	NA	NA	NA	4	4	0	0	100	0	0	Light-Shared
OG0003600	188	100	780.19	Pocillopora_verrucosa_RSSAv1___g5369.t1	2448	179	yes	clade	Opisthokonta	129	100	77.5100	0	0	0	0	NA	NA	NA	20	18	2	0	90	10	0	Light-Shared
OG0003700	185	103	336.81	Pocillopora_acuta_KBHIv2___RNAseq.g14155.t1	961	179	yes	kingdom	Metazoa	127	103	81.1000	2	2	0	0	100	0	0	15	15	0	0	100	0	0	Light-Shared
OG0003800	183	111	303.00	Hydractinia_symbiolongicarpus_NEAOv1___0080.46	668	183	yes	clade	Opisthokonta	129	111	86.0400	0	0	0	0	NA	NA	NA	9	9	0	0	100	0	0	Light-Shared
OG0003900	180	101	900.55	Aurelia_aurita_ALTOv1___scaffold59.g9.t1	1787	176	yes	phylum	Cnidaria	118	101	85.5900	11	11	0	0	100	0	0	8	8	0	0	100	0	0	Light-Shared
OG0004000	177	116	374.51	Seriatopora_hystrix_REEFv1___33011	492	177	yes	clade	Opisthokonta	129	116	89.9200	0	0	0	0	NA	NA	NA	4	4	0	0	100	0	0	Light-Shared
OG0004100	175	107	535.45	Scolanthus_callimorphus_CRFRv1___6682.1	1765	172	yes	clade	Opisthokonta	129	107	82.9400	0	0	0	0	NA	NA	NA	13	13	0	0	100	0	0	Light-Shared
OG0004200	173	110	314.62	Goniastrea_aspera_REEFv1___m3.9191.m1	531	173	yes	clade	Opisthokonta	129	110	85.2700	0	0	0	0	NA	NA	NA	10	10	0	0	100	0	0	Light-Shared
OG0004300	170	115	416.83	Xestospongia_testudinaria_RSSAv1___maker-XT_scaffold2611-augustus-gene-0.12-mRNA-1	66	170	yes	clade	Opisthokonta	129	115	89.1400	0	0	0	0	NA	NA	NA	5	2	3	0	40	60	0	Light-Shared
OG0004400	169	114	460.56	Trichoplax_sp_H2_CRPAv1___RDD38696.1	607	168	yes	clade	Opisthokonta	129	114	88.3700	0	0	0	0	NA	NA	NA	6	6	0	0	100	0	0	Light-Shared
OG0004500	167	113	277.25	Mnemiopsis_leidyi_WHUSv2.2___ML174719a	334	167	yes	clade	Opisthokonta	129	113	87.5900	0	0	0	0	NA	NA	NA	7	7	0	0	100	0	0	Light-Shared
OG0004600	165	115	436.54	Pocillopora_cf_effusa_NAPFv3___00018030	788	163	yes	clade	Opisthokonta	129	115	89.1400	0	0	0	0	NA	NA	NA	5	5	0	0	100	0	0	Light-Shared
OG0004700	163	115	287.52	Renilla_muelleri_FLUSv1___g4892.t1	553	161	yes	clade	Opisthokonta	129	115	89.1400	0	0	0	0	NA	NA	NA	5	5	0	0	100	0	0	Light-Shared
OG0004800	162	115	268.07	Aurelia_aurita_ALTOv1___scaffold1102.g1.t1	127	153	yes	clade	Opisthokonta	129	115	89.1400	0	0	0	0	NA	NA	NA	5	5	0	0	100	0	0	Light-Shared
OG0004900	160	116	283.54	Stylissa_carteri_RSSAv1___maker-SC_scaffold3831-snap-gene-0.23-mRNA-1	317	160	yes	clade	Opisthokonta	129	116	89.9200	0	0	0	0	NA	NA	NA	4	4	0	0	100	0	0	Light-Shared
OG0005000	158	112	634.66	Stylissa_carteri_RSSAv1___maker-SC_scaffold2743-augustus-gene-0.5-mRNA-1	733	154	yes	kingdom	Metazoa	127	112	88.1800	2	1	1	0	50	50	0	6	4	0	2	66.6667	0	33.3333	Light-Shared
OG0005100	156	55	108.92	Ricordea_yuma_NAAUv1___GELN01017082.1.p1	125	156	yes	subclass	Hexacorallia	73	55	75.3400	50	0	1	49	0	2	98	15	13	2	0	86.6667	13.3333	0	Dark-Restricted
OG0005200	155	88	718.12	Goniastrea_aspera_REEFv1___m3.30882.m1	1436	103	yes	phylum	Cnidaria	118	88	74.5700	11	3	8	0	27.2727	72.7273	0	21	19	0	2	90.4762	0	9.52381	Light-Shared
OG0005300	154	103	267.51	Porpita_porpita_YOJPv1___GHBA01015656.1.p1	165	153	yes	clade	Opisthokonta	129	103	79.8400	0	0	0	0	NA	NA	NA	17	17	0	0	100	0	0	Light-Shared
OG0005400	152	114	350.89	Salpingoeca_rosetta_HIUSv1___XP_004996709.1	444	152	yes	clade	Opisthokonta	129	114	88.3700	0	0	0	0	NA	NA	NA	6	6	0	0	100	0	0	Light-Shared
OG0005600	149	102	354.72	Orbicella_faveolata_NAPAv1___XP_020606774.1	465	149	yes	kingdom	Metazoa	127	102	80.3100	2	2	0	0	100	0	0	16	16	0	0	100	0	0	Light-Shared
OG0005700	147	103	423.89	Porites_rus_NAIDv1___10033_t	185	115	yes	kingdom	Metazoa	127	103	81.1000	2	0	0	2	0	0	100	15	7	2	6	46.6667	13.3333	40	Light-Shared
OG0005800	146	108	206.47	Trichoplax_sp_H2_CRPAv1___RDD39781.1	238	144	yes	clade	Opisthokonta	129	108	83.7200	0	0	0	0	NA	NA	NA	12	12	0	0	100	0	0	Light-Shared
OG0005900	144	108	129.62	Velella_velella_OKJPv1___GHAZ01044097.1.p1	157	141	yes	clade	Opisthokonta	129	108	83.7200	0	0	0	0	NA	NA	NA	12	12	0	0	100	0	0	Light-Shared
OG0006000	143	106	447.94	Porites_australiensis_SLJPv1___s0130.g36.t2	739	141	yes	kingdom	Metazoa	127	106	83.4600	2	2	0	0	100	0	0	12	12	0	0	100	0	0	Light-Shared
OG0006100	141	108	463.06	Acropora_muricata_SLJPv1___s0012.g43.t1	1038	141	yes	clade	Opisthokonta	129	108	83.7200	0	0	0	0	NA	NA	NA	12	12	0	0	100	0	0	Light-Shared
OG0006200	140	110	265.52	Ephydatia_muelleri_BCCAv1___Em0013g952a.t1	685	139	yes	kingdom	Metazoa	127	110	86.6100	2	2	0	0	100	0	0	8	5	1	2	62.5	12.5	25	Light-Shared
OG0006300	138	61	354.45	Astreopora_sp_REEFv1___32974	613	136	yes	subclass	Hexacorallia	73	61	83.5600	50	1	24	25	2	48	50	9	9	0	0	100	0	0	Light-Restricted
OG0006400	137	99	435.76	Corallium_rubrum_MRFRv1___Contig_45700.p1	853	137	yes	phylum	Cnidaria	118	99	83.8900	11	0	0	11	0	0	100	10	0	3	7	0	30	70	Light-Shared
OG0006500	135	99	471.95	Stylophora_pistillata_GAJOv1___9650	1672	133	yes	kingdom	Metazoa	127	99	77.9500	2	2	0	0	100	0	0	19	19	0	0	100	0	0	Light-Shared
OG0006600	134	112	222.64	Salpingoeca_rosetta_HIUSv1___XP_004996917.1	204	133	yes	clade	Opisthokonta	129	112	86.8200	0	0	0	0	NA	NA	NA	8	8	0	0	100	0	0	Light-Shared
OG0006700	132	84	851.93	Stylissa_carteri_RSSAv1___snap_masked-SC_scaffold166-processed-gene-0.15-mRNA-1	632	119	yes	kingdom	Metazoa	127	84	66.1400	2	2	0	0	100	0	0	34	32	2	0	94.1176	5.88235	0	Light-Shared
OG0006800	131	75	298.43	Porites_compressa_KBHIv1___TS.g4278.t2	724	131	yes	clade	Opisthokonta	129	75	58.1300	0	0	0	0	NA	NA	NA	45	43	2	0	95.5556	4.44444	0	Light-Shared
OG0007000	127	94	262.45	Mnemiopsis_leidyi_WHUSv2.2___ML00948a	315	124	yes	clade1	Eumetazoa	123	94	76.4200	6	6	0	0	100	0	0	20	20	0	0	100	0	0	Light-Shared
OG0007100	126	102	248.25	Acropora_nasuta_SLJPv1___s0155.g44.t1	1006	126	yes	clade	Opisthokonta	129	102	79.0600	0	0	0	0	NA	NA	NA	18	18	0	0	100	0	0	Light-Shared
OG0007200	124	99	194.93	Pachyseris_speciosa_OIAUv0.12___0.1.m1.7911.m1	200	124	yes	clade	Opisthokonta	129	99	76.7400	0	0	0	0	NA	NA	NA	21	21	0	0	100	0	0	Light-Shared
OG0007300	123	88	266.28	Turritopsis_sp_SK-2016_TBJPv1___IAAF01033016.1.p1	305	99	yes	kingdom	Metazoa	127	88	69.2900	2	2	0	0	100	0	0	30	30	0	0	100	0	0	Light-Shared
OG0007400	121	105	279.91	Galaxea_fascicularis_REEFv1___m1.4938.m1	470	115	yes	clade	Opisthokonta	129	105	81.3900	0	0	0	0	NA	NA	NA	15	8	0	7	53.3333	0	46.6667	Light-Shared
OG0007500	119	95	129.61	Montipora_aequituberculata_NANAv1___comp52929_c0_seq1	90	119	yes	clade	Opisthokonta	129	95	73.6400	0	0	0	0	NA	NA	NA	25	25	0	0	100	0	0	Light-Shared
OG0007800	112	68	325.43	Stylissa_carteri_RSSAv1___maker-SC_scaffold318-snap-gene-0.4-mRNA-1	268	82	yes	kingdom	Metazoa	127	68	53.5400	2	2	0	0	100	0	0	50	44	4	2	88	8	4	Light-Shared
OG0007900	110	93	236.17	Polypodium_hydriforme_OKUSv1___GBGH01013307.1.p1	237	109	yes	kingdom	Metazoa	127	93	73.2200	2	0	2	0	0	100	0	25	8	17	0	32	68	0	Light-Shared
OG0008000	107	93	240.04	Xenia_sp_CTEAv1___Xe_021784-T1	168	107	yes	kingdom	Metazoa	127	93	73.2200	2	2	0	0	100	0	0	25	23	2	0	92	8	0	Light-Shared
OG0008200	104	87	282.45	Calvadosia_cruxmelitensis_CRGBv3.2___g1015.t1_3	444	104	yes	clade	Opisthokonta	129	87	67.4400	0	0	0	0	NA	NA	NA	33	31	2	0	93.9394	6.06061	0	Light-Shared
OG0008300	101	85	319.33	Acropora_intermedia_SLJPv1___s0217.g32.t3	584	101	yes	clade	Opisthokonta	129	85	65.8900	0	0	0	0	NA	NA	NA	35	35	0	0	100	0	0	Light-Shared
OG0008400	99	80	338.14	Porites_evermanni_NAPFv1___00008621	374	96	yes	phylum	Cnidaria	118	80	67.7900	11	4	7	0	36.3636	63.6364	0	29	27	2	0	93.1034	6.89655	0	Light-Shared
OG0008500	96	55	1180.49	Astreopora_myriophthalma_SLJPv2___sc0000019.g0201.t1	3790	93	yes	subclass	Hexacorallia	73	55	75.3400	50	0	1	49	0	2	98	15	11	4	0	73.3333	26.6667	0	Light-Shared
OG0008600	94	84	109.91	Kudoa_iwatai_RSILv1___GBGI01000371.1.p1	107	94	yes	clade	Opisthokonta	129	84	65.1100	0	0	0	0	NA	NA	NA	36	27	9	0	75	25	0	Light-Shared
OG0008700	92	26	383.32	Podocoryna_carnea_NANAv1___GBEH01068077.1.p1	954	91	yes	kingdom	Metazoa	127	26	20.4700	2	2	0	0	100	0	0	92	90	2	0	97.8261	2.17391	0	Light-Shared
OG0008800	89	74	215.13	Pocillopora_acuta_KBHIv2___TS.g6545.t1	281	83	yes	kingdom	Metazoa	127	74	58.2600	2	1	1	0	50	50	0	44	43	1	0	97.7273	2.27273	0	Light-Shared
OG0008900	87	75	298.79	Platygyra_sinensis_SDTHv1___evm.model.contig_32867.15	369	86	yes	clade	Opisthokonta	129	75	58.1300	0	0	0	0	NA	NA	NA	45	45	0	0	100	0	0	Light-Shared
OG0009000	85	46	315.14	Platygyra_sinensis_SDTHv1___evm.model.contig_11415.4	447	84	yes	clade1	Eumetazoa	123	46	37.3900	6	0	6	0	0	100	0	68	57	11	0	83.8235	16.1765	0	Light-Shared
OG0009100	83	39	253.80	Montastrea_cavernosa_FGUSv2___33586-RA	257	82	yes	phylum	Cnidaria	118	39	33.0500	11	0	0	11	0	0	100	70	17	18	35	24.2857	25.7143	50	Light-Shared
OG0009200	80	59	378.36	Acropora_yongei_SLJPv1___s0029.g73.t2	626	80	yes	kingdom	Metazoa	127	59	46.4500	2	2	0	0	100	0	0	59	59	0	0	100	0	0	Light-Shared
OG0009700	70	56	331.34	Acropora_nasuta_SLJPv1___s2139.g1.t1	232	69	yes	class	Anthozoa	82	56	68.2900	42	0	5	37	0	11.9048	88.0952	22	15	4	3	68.1818	18.1818	13.6364	Light-Shared
OG0009800	68	62	139.26	Acropora_echinata_SLJPv1___s0037.g56.t1	553	64	yes	phylum	Cnidaria	118	62	52.5400	11	0	3	8	0	27.2727	72.7273	47	13	31	3	27.6596	65.9574	6.38298	Light-Shared
OG0009900	67	20	143.03	Stylophora_pistillata_GAJOv1___22244	245	65	yes	subclass	Hexacorallia	73	20	27.3900	50	0	0	50	0	0	100	50	1	0	49	2	0	98	Light-Restricted
OG0010000	65	58	141.63	Scolanthus_callimorphus_CRFRv1___45674.1	163	53	yes	phylum	Cnidaria	118	58	49.1500	11	0	0	11	0	0	100	51	19	23	9	37.2549	45.098	17.6471	Light-Shared
OG0010100	63	37	278.00	Corallium_rubrum_MRFRv1___Contig_36058.p1	261	33	yes	phylum	Cnidaria	118	37	31.3500	11	0	0	11	0	0	100	72	4	44	24	5.55556	61.1111	33.3333	Light-Shared
OG0010300	60	58	96.25	Xenia_sp_CTEAv1___Xe_021511-T1	148	60	yes	clade	Opisthokonta	129	58	44.9600	0	0	0	0	NA	NA	NA	62	62	0	0	100	0	0	Light-Shared
OG0010400	58	51	153.16	Actinia_equina_RHUKv1___evm.utg6551.26	133	57	yes	subclass	Hexacorallia	73	51	69.8600	50	1	26	23	2	52	46	19	15	4	0	78.9474	21.0526	0	Dark-Restricted
OG0010800	53	16	160.36	Exaiptasia_diaphana_CC7v1___AIPGENE6048	267	29	yes	class	Anthozoa	82	16	19.5100	42	0	0	42	0	0	100	62	0	16	46	0	25.8065	74.1935	Light-Shared
OG0011000	50	48	362.02	Porites_lobata_NAPFv3___00046086	353	50	yes	subclass	Hexacorallia	73	48	65.7500	50	48	2	0	96	4	0	22	22	0	0	100	0	0	Light-Shared
OG0011100	49	48	207.31	Seriatopora_hystrix_REEFv1___26141	118	49	yes	subclass	Hexacorallia	73	48	65.7500	50	38	12	0	76	24	0	22	22	0	0	100	0	0	Light-Shared
OG0011300	47	23	305.34	Porites_evermanni_NAPFv1___00019579	884	47	yes	subclass	Hexacorallia	73	23	31.5000	50	0	35	15	0	70	30	47	7	40	0	14.8936	85.1064	0	Light-Shared
OG0011900	41	16	308.32	Palythoa_variabilis_PCBRv1___GCVI01056375.1.p1	368	29	yes	clade	Opisthokonta	129	16	12.4000	0	0	0	0	NA	NA	NA	104	88	16	0	84.6154	15.3846	0	Light-Shared
OG0012200	38	30	570.05	Scolanthus_callimorphus_CRFRv1___28774.1	888	34	yes	subclass	Hexacorallia	73	30	41.0900	50	0	1	49	0	2	98	40	1	13	26	2.5	32.5	65	Light-Restricted
OG0012900	33	16	336.70	Pocillopora_damicornis_SIPAv1___00000250-RA	771	33	yes	subclass	Hexacorallia	73	16	21.9100	50	0	50	0	0	100	0	54	2	52	0	3.7037	96.2963	0	Light-Restricted
OG0013200	31	24	148.23	Tripedalia_cystophora_Conant1897_1897v1___GGWE01033189.1.p1	103	31	yes	phylum	Cnidaria	118	24	20.3300	11	0	3	8	0	27.2727	72.7273	85	3	79	3	3.52941	92.9412	3.52941	Light-Restricted
OG0013400	30	16	138.50	Millepora_squarrosa_PRUSv1___GFGU01128979.1.p1	140	30	yes	phylum	Cnidaria	118	16	13.5500	11	0	3	8	0	27.2727	72.7273	93	2	52	39	2.15054	55.914	41.9355	Light-Shared
OG0013600	29	7	335.28	Xenia_sp_CTEAv1___Xe_014271-T1	338	29	yes	subclass	Octocorallia	9	7	77.7700	112	0	1	111	0	0.892857	99.1071	1	1	0	0	100	0	0	Light-Shared
OG0014200	26	23	365.69	Stylophora_pistillata_GAJOv1___9022	503	26	yes	subclass	Hexacorallia	73	23	31.5000	50	0	20	30	0	40	60	47	42	5	0	89.3617	10.6383	0	Dark-Restricted
OG0014500	25	12	1005.52	Clytia_hemispaerica_NANAv1___TCONS_00030807	1525	21	yes	subclass	Hydroidolina	16	12	75.0000	104	0	0	104	0	0	100	4	0	4	0	0	100	0	Light-Shared
OG0015400	22	15	383.64	Velella_velella_OKJPv1___GHAZ01114901.1.p1	544	22	yes	subclass	Hydroidolina	16	15	93.7500	104	7	95	2	6.73077	91.3462	1.92308	1	1	0	0	100	0	0	Light-Shared
OG0016700	19	14	142.63	Hydra_vulgaris_MIJPv3___XP_004206211.1	147	19	yes	subclass	Hydroidolina	16	14	87.5000	104	0	5	99	0	4.80769	95.1923	2	2	0	0	100	0	0	Dark-Restricted
OG0016900	19	10	129.00	Pocillopora_acuta_KBHIv2___RNAseq.g17545.t1	91	19	yes	order	Scleractinia	61	10	16.3900	61	0	61	0	0	100	0	49	2	47	0	4.08163	95.9184	0	Dark-Restricted
OG0017200	18	15	212.72	Hydra_viridissima_99AUv1___scaffold35.g67.t4	490	18	yes	subclass	Hydroidolina	16	15	93.7500	104	0	39	65	0	37.5	62.5	1	1	0	0	100	0	0	Light-Shared
OG0018600	16	8	585.69	Renilla_muelleri_FLUSv1___g15350.t1	354	16	yes	subclass	Octocorallia	9	8	88.8800	112	0	0	112	0	0	100	0	0	0	0	NA	NA	NA	Dark-Restricted
OG0019300	15	4	444.00	Discosoma_sp_MSMEv1___evm.model.scaffold_1539.1	490	9	yes	phylum	Cnidaria	118	4	3.3800	11	0	0	11	0	0	100	105	22	46	37	20.9524	43.8095	35.2381	Light-Shared
OG0019400	15	9	358.13	Dynamena_pumila_WSRUv1___GHMC01032127.1.p1	544	14	yes	subclass	Hydroidolina	16	9	56.2500	104	0	0	104	0	0	100	7	6	1	0	85.7143	14.2857	0	Dark-Restricted
OG0019800	15	7	308.67	Velella_velella_OKJPv1___GHAZ01051168.1.p2	112	15	yes	phylum	Cnidaria	118	7	5.9300	11	0	11	0	0	100	0	102	3	99	0	2.94118	97.0588	0	Light-Shared
OG0021400	13	6	107.62	Porites_lutea_OIAUv1.1___m8.20031.m1	79	12	yes	order	Scleractinia	61	6	9.8300	61	0	21	40	0	34.4262	65.5738	53	3	50	0	5.66038	94.3396	0	Light-Restricted
OG0022600	13	3	320.46	Hydra_viridissima_99AUv1___scaffold120.g4.t1	337	13	yes	genus	Hydra	3	3	100.0000	117	0	10	107	0	8.54701	91.453	0	0	0	0	NA	NA	NA	Light-Shared
OG0022800	13	1	188.00	Xenia_sp_CTEAv1___Xe_024545-T1	328	13	yes	tax_id	86540	1	1	100.0000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Light-Shared
OG0023100	12	12	140.25	Seriatopora_hystrix_REEFv1___20107	149	12	yes	order	Scleractinia	61	12	19.6700	61	2	4	55	3.27869	6.55738	90.1639	47	12	35	0	25.5319	74.4681	0	Light-Shared
