orthogroup_id	no_sequences	no_species	avg_seq_length	representative_seqid	representative_seqid_length	num_representative_hits	is_best_representative_seq	best_strata	best_strata_taxa	best_strata_total_species	best_strata_species_in_OG	best_strata_species_in_OG_proportion_total	non.strata_taxa_in_analysis	non.strata_taxa_expectedHDF_false	non.strata_taxa_expectedHDF_ambiguous	non.strata_taxa_expectedHDF_true	non.strata_taxa_expectedHDF_false_proportion	non.strata_taxa_expectedHDF_ambiguous_proportion	non.strata_taxa_expectedHDF_true_proportion	strata_nonOG_taxa_in_analysis	strata_nonOG_taxa_expectedHDF_false	strata_nonOG_taxa_expectedHDF_ambiguous	strata_nonOG_taxa_expectedHDF_true	strata_nonOG_taxa_expectedHDF_false_proportion	strata_nonOG_taxa_expectedHDF_ambiguous_proportion	strata_nonOG_taxa_expectedHDF_true_proportion	designation
OG0008235	103	91	168.92	Stylophora_pistillata_GAJOv1___21968	199	102	yes	phylum	Cnidaria	109	91	83.48	11	11	0	0	100	0	0	18	18	0	0	100	0	0	Dark-Restricted
OG0008487	97	74	179.65	Xenia_sp_CTEAv1___Xe_007111-T1	164	55	yes	phylum	Cnidaria	109	74	67.88	11	0	3	8	0	27.2727	72.7273	35	9	24	2	25.7143	68.5714	5.71429	Dark-Restricted
OG0008607	94	88	164.13	Xenia_sp_CTEAv1___Xe_008113-T1	164	92	yes	phylum	Cnidaria	109	88	80.73	11	9	2	0	81.8182	18.1818	0	21	19	2	0	90.4762	9.52381	0	Dark-Restricted
OG0008698	92	62	130.85	Corallium_rubrum_MRFRv1___Contig_29192.p1	194	91	yes	phylum	Cnidaria	109	62	56.88	11	6	5	0	54.5455	45.4545	0	47	45	2	0	95.7447	4.25532	0	Dark-Restricted
OG0008797	89	77	155.92	Rhodactis_indosinensis_NATWv1___GELO01060894.1.p1	174	79	yes	phylum	Cnidaria	109	77	70.64	11	0	3	8	0	27.2727	72.7273	32	15	14	3	46.875	43.75	9.375	Dark-Restricted
OG0008841	88	66	135.51	Porites_rus_NAIDv1___1146_t	167	82	yes	phylum	Cnidaria	109	66	60.55	11	0	0	11	0	0	100	43	16	13	14	37.2093	30.2326	32.5581	Dark-Restricted
OG0008863	88	82	186.31	Xenia_sp_CTEAv1___Xe_015362-T1	244	88	yes	phylum	Cnidaria	109	82	75.22	11	6	5	0	54.5455	45.4545	0	27	25	2	0	92.5926	7.40741	0	Dark-Restricted
OG0008934	86	81	147.37	Turritopsis_sp_SK-2016_TBJPv1___IAAF01038250.1.p1	172	86	yes	phylum	Cnidaria	109	81	74.31	11	0	4	7	0	36.3636	63.6364	28	5	20	3	17.8571	71.4286	10.7143	Dark-Restricted
OG0009071	83	67	464.96	Pachyseris_speciosa_OIAUv0.12___0.1.m1.29956.m1	663	77	yes	phylum	Cnidaria	109	67	61.46	11	0	9	2	0	81.8182	18.1818	42	11	29	2	26.1905	69.0476	4.7619	Dark-Restricted
OG0009109	82	73	121.61	Tripedalia_cystophora_Conant1897_1897v1___GGWE01069742.1.p1	155	82	yes	phylum	Cnidaria	109	73	66.97	11	11	0	0	100	0	0	36	36	0	0	100	0	0	Dark-Restricted
OG0009223	80	75	110.97	Paramuricea_clavata_CTESv1___057384P2	103	79	yes	phylum	Cnidaria	109	75	68.8	11	0	4	7	0	36.3636	63.6364	34	12	20	2	35.2941	58.8235	5.88235	Dark-Restricted
OG0009233	80	72	120.92	Xenia_sp_CTEAv1___Xe_002783-T1	117	80	yes	phylum	Cnidaria	109	72	66.05	11	0	3	8	0	27.2727	72.7273	37	2	32	3	5.40541	86.4865	8.10811	Dark-Restricted
OG0009279	79	67	303.3	Plexaura_kukenthali_PRUSv1___TR33271_c0_g1_i1.p1	357	76	yes	phylum	Cnidaria	109	67	61.46	11	1	6	4	9.09091	54.5455	36.3636	42	37	3	2	88.0952	7.14286	4.7619	Dark-Restricted
OG0009298	78	66	448.69	Pocillopora_cf_effusa_NAPFv3___00028512	959	78	yes	phylum	Cnidaria	109	66	60.55	11	11	0	0	100	0	0	43	41	2	0	95.3488	4.65116	0	Dark-Restricted
OG0009465	74	65	451.26	Pocillopora_meandrina_KBHIv1___RNAseq.g2524.t1	482	73	yes	phylum	Cnidaria	109	65	59.63	11	0	7	4	0	63.6364	36.3636	44	30	12	2	68.1818	27.2727	4.54545	Dark-Restricted
OG0009742	69	64	140.96	Porites_lutea_OIAUv1.1___m8.253.m1	155	66	yes	phylum	Cnidaria	109	64	58.71	11	0	3	8	0	27.2727	72.7273	45	29	13	3	64.4444	28.8889	6.66667	Dark-Restricted
OG0009927	66	63	147.52	Dendronephthya_gigantea_SJKRv1___XP_028414490.1	166	66	yes	phylum	Cnidaria	109	63	57.79	11	3	8	0	27.2727	72.7273	0	46	42	2	2	91.3043	4.34783	4.34783	Dark-Restricted
OG0010089	63	61	201.68	Palythoa_variabilis_PCBRv1___GCVI01018469.1.p1	239	41	yes	phylum	Cnidaria	109	61	55.96	11	0	0	11	0	0	100	48	4	7	37	8.33333	14.5833	77.0833	Dark-Restricted
OG0010229	61	56	267.05	Acropora_cytherea_SLJPv1___s0052.g63.t2	478	58	yes	phylum	Cnidaria	109	56	51.37	11	0	3	8	0	27.2727	72.7273	53	17	31	5	32.0755	58.4906	9.43396	Dark-Restricted
OG0010234	61	58	306.49	Paramuricea_clavata_CTESv1___028904P1	278	58	yes	phylum	Cnidaria	109	58	53.21	11	7	4	0	63.6364	36.3636	0	51	49	2	0	96.0784	3.92157	0	Dark-Restricted
OG0010293	60	59	129.48	Scolanthus_callimorphus_CRFRv1___4391.1	140	59	yes	phylum	Cnidaria	109	59	54.12	11	0	0	11	0	0	100	50	9	11	30	18	22	60	Dark-Restricted
OG0010470	57	55	349.6	Actinia_equina_RHUKv1___evm.utg4318.16	457	57	yes	phylum	Cnidaria	109	55	50.45	11	1	8	2	9.09091	72.7273	18.1818	54	45	7	2	83.3333	12.963	3.7037	Dark-Restricted
